Carrozzeria,id_annuncio,Alimentazione,Tipo di cambio,Tipo di veicolo,Marca,Modello,Porte,Tipo di unita,Cilindrata,Posti a sedere,Cilindri,Colore esterno,Marce,Classe emissioni,Emissioni di CO2,Consumo carburante,Colore originale,Rivestimenti,Tipo di vernice,Peso a vuoto,Usato Garantito,Proprietari,Per neopatentati,Veicolo per non fumatori,Anno,Tagliandi certificati
City car,27595c58-71ac-4879-8a0e-bfdcece36e44,Benzina,Manuale,KM0,Opel,Karl,5,anteriore,999,4,3,Nero,5,Euro 6,104 g CO2/km (comb.),"4,6 l/100 km (comb.)
5,6 l/100 km (urbano)
4 l/100 km (extraurbano)",,"Stoffa, Nero",Metallizzato,1034,12 mese,1,Sì,Sì,2019,Sì
City car,2d82df14-eacd-4198-bf4e-997e2cd8f031,Benzina,Manuale,KM0,Opel,Karl,5,anteriore,999,4,3,Lilla,5,Euro 6,104 g CO2/km (comb.),"4,6 l/100 km (comb.)
5,6 l/100 km (urbano)
4 l/100 km (extraurbano)",,"Stoffa, Nero",Metallizzato,1034,12 mese,1,Sì,Sì,2019,Sì
City car,7d2e44db-7a35-47af-a095-f08d3c0877f6,Benzina,Manuale,KM0,Fiat,New Panda,5,4x4,875,4,2,Argento,6,Euro 6d-TEMP,116 g CO2/km (comb.),"5,1 l/100 km (comb.)
5,4 l/100 km (urbano)
4,9 l/100 km (extraurbano)",Argento,"Stoffa, Grigio",Base,1125,24 mese,,,Sì,2020,Sì
City car,53071f26-df77-4df5-b28d-a0e63e83a292,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Blu/Azzurro,5,Euro 6,108 g CO2/km (comb.),"4,8 l/100 km (comb.)
6,1 l/100 km (urbano)
4 l/100 km (extraurbano)",Blu,,Metallizzato,960,12 mese,,Sì,,2020,
City car,dd17c9b6-84e0-4f67-a0ae-3cdeb2b407b5,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Verde,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Verde Alpi,"Stoffa, Nero",Base,1050,,,Sì,,2020,
City car,fffd8063-7ac8-4faf-8e5c-8070b34f4ab4,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Verde,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Verde Alpi,"Stoffa, Nero",Base,1050,,,Sì,,2020,
City car,7d0f1a3f-f3b4-4a35-8a80-1f6430a0edc7,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Verde,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Verde Alpi,"Stoffa, Nero",Base,1050,,,Sì,,2020,
City car,afeffec9-2355-4e77-8ab2-aa2d24e37c75,Benzina,Automatico,KM0,Fiat,500,3,anteriore,1242,4,4,Verde,5,Euro 6,114 g CO2/km (comb.),"4,9 l/100 km (comb.)
5,8 l/100 km (urbano)
4,5 l/100 km (extraurbano)",Verde Alpi,"Stoffa, Nero",Base,1050,,,Sì,,2020,
City car,5b9e5b3b-2499-4d61-b36f-5fd7cf460cfc,Benzina,Manuale,KM0,Volkswagen,up!,5,anteriore,999,4,3,Bianco,5,Euro 6d-TEMP,100 g CO2/km (comb.),"4,4 l/100 km (comb.)
5,3 l/100 km (urbano)
3,8 l/100 km (extraurbano)",Pure White,"Pelle parziale, Bianco",Metallizzato,980,24 mese,1,Sì,Sì,2020,Sì
City car,4ba0264d-a4ff-4699-8e7e-18b84100ed1c,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Grigio,5,,119 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Grigio scuro,,Metallizzato,960,24 mese,,Sì,,2020,
City car,eb3e71c3-81d1-46a1-99c0-f6ad9fa41c43,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Nero,5,,119 g CO2/km (comb.),"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",Nero,,Metallizzato,960,24 mese,,Sì,,2020,
City car,4b0de6d1-908a-412d-a5b5-3b6b56f8aa16,Benzina,Manuale,KM0,Fiat,500,3,anteriore,1242,4,4,Rosso,5,Euro 6,110 g CO2/km (comb.),"4,9 l/100 km (comb.)
6,2 l/100 km (urbano)
4,1 l/100 km (extraurbano)",Bordeaux,,Metallizzato,960,24 mese,,Sì,,2020,
