Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Tipo di vernice,Marce,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
City car,312eeeb9-cce9-4444-8cee-5a6e34d8ac16,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Grigio,88 g CO2/km (comb.),,Grigio,Metallizzato,6,1055,,Sì,,999,Euro 6d,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,257b465b-dbe4-44c8-a957-44389c871df9,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),"Pelle parziale, Nero",Bordeaux,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,4fd295f8-50c6-4284-aa92-8b92ce7e8210,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),"Pelle parziale, Nero",Bordeaux,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,d27a9bf3-37ac-4ac5-855a-5f55f13a1ccc,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),"Pelle parziale, Nero",Bordeaux,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,eb897194-df2b-41b7-9b3b-54971355fb18,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),"Pelle parziale, Nero",Bordeaux,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,c7db2133-43f1-4d6e-a6e0-49c384897f87,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Rosso,88 g CO2/km (comb.),,Rosso,Base,6,1055,,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,f384fa90-97ae-426a-95e2-c5bd3bdfa7e7,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Blu/Azzurro,88 g CO2/km (comb.),,Azzurro,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,e791745c-085b-4054-98a8-be1e97cbbbac,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Blu/Azzurro,88 g CO2/km (comb.),,Blu,Metallizzato,6,1055,,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,68ab6cde-2022-4ead-b9bd-7dd8e22019d9,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Bianco,88 g CO2/km (comb.),,Bianco,Base,6,1055,,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,d6f663c8-217b-45f0-a51b-c52305c82d80,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Blu/Azzurro,88 g CO2/km (comb.),,Blu,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,455cda53-9701-4029-b7a5-19440542709c,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Bianco,88 g CO2/km (comb.),,Bianco,Base,6,1055,24 mese,Sì,,999,Euro 6,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,75a4cc27-e820-48dd-876c-7a6ef1c35c38,Elettrica/Benzina,KM0,2020,Fiat,500,3,,Manuale,anteriore,Blu/Azzurro,88 g CO2/km (comb.),"Stoffa, Nero",Blu Italia,,6,980,24 mese,,1,3,Euro 6,3,,"3,4 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",
City car,b9fdaeb3-96da-4b64-8b35-d9db0bbafe99,Elettrica/Benzina,KM0,2020,Fiat,500,3,,Manuale,anteriore,Blu/Azzurro,88 g CO2/km (comb.),"Stoffa, Nero",Blu Italia,,6,980,24 mese,,1,3,Euro 6,3,,"3,4 l/100 km (comb.)
4,7 l/100 km (urbano)
3,9 l/100 km (extraurbano)",
City car,d690cf29-b679-40c3-bf94-48cf5583f5f9,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Argento,88 g CO2/km (comb.),"Stoffa, Grigio",Vari colori,Metallizzato,6,1055,24 mese,Sì,,999,Euro 6d-TEMP,3,,"3,9 l/100 km (comb.)
4,7 l/100 km (urbano)
3,4 l/100 km (extraurbano)",
City car,8953e08d-8b90-4a62-872c-eb88ecc6641b,Elettrica/Benzina,KM0,2020,Fiat,New Panda,5,4,Manuale,anteriore,Grigio,119 g CO2/km (comb.),Stoffa,GRIGIO MODA,,5,865,,,1,1242,Euro 6,4,Sì,"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",
City car,9dd0b3d8-8b08-4c95-8522-ea74c71c07ab,Elettrica/Benzina,KM0,2020,Fiat,Panda,5,4,Manuale,anteriore,Grigio,119 g CO2/km (comb.),Stoffa,GRIGIO MODA,,5,865,,,1,1242,Euro 6,4,Sì,"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",
City car,c4e75ef7-b273-4f6b-b300-22f945a53e11,Elettrica/Benzina,KM0,2020,Fiat,Panda,5,4,Manuale,anteriore,Arancione,119 g CO2/km (comb.),"Stoffa, Altro",,,5,865,,,1,1242,Euro 6,4,Sì,"5,1 l/100 km (comb.)
6,6 l/100 km (urbano)
4,3 l/100 km (extraurbano)",
City car,5ed9489f-0711-41dd-86a5-e741a3e1a742,Elettrica/Benzina,KM0,2020,Fiat,500,3,4,Manuale,anteriore,Bianco,119 g CO2/km (comb.),,Bianco,Metallizzato,6,960,,Sì,,999,Euro 6d,4,,"5,2 l/100 km (comb.)
6,5 l/100 km (urbano)
4,4 l/100 km (extraurbano)",
